"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YAL067C",81,79,51,42,18,17,18,9,1722
"YAL063C-A",260,157,146,117,69,69,82,85,231
"YAL063C",20223,13117,7004,6526,59891,48272,6333,5482,3909
"YAL054C",402,316,245,208,296,587,66,79,2082
"YAL049C",1182,786,640,520,4327,4172,1321,1401,681
"YAL047C",298,244,160,135,454,444,139,140,1809
"YAL046C",268,223,143,118,1424,1314,676,551,297
"YAL044C",2660,1596,2026,1683,18452,15921,9021,7555,453
"YAL043C",1119,708,634,524,2578,2291,817,823,2298
"YAL040C",1626,971,1099,870,909,809,500,428,1683
"YAL039C",435,285,134,183,3134,3088,500,555,750
"YAL037C-A",2,3,2,1,5,2,3,0,33
"YAL036C",1136,776,527,381,4131,3403,1138,906,1050
"YAL034C-B",0,0,2,2,1,0,2,1,294
"YAL034C",392,373,375,389,658,715,392,770,1182
"YAL032C",172,146,74,68,558,483,133,146,1080
"YAL031C",475,382,338,303,760,730,414,426,2223
"YAL029C",1788,1259,1130,848,1308,1264,327,252,4356
"YAL026C-A",115,89,62,40,45,41,8,9,378
"YAL026C",1690,1199,835,530,1542,1506,440,371,4008
"YAL025C",520,392,467,274,1985,1873,841,693,861
"YAL024C",623,369,285,202,389,357,102,91,4248
"YAL023C",6456,3881,1106,918,11186,9776,945,688,2220
"YAL022C",386,228,187,186,823,745,267,262,1494
"YAL021C",1286,771,530,516,3675,3544,860,687,2454
"YAL020C",144,89,93,99,368,322,197,160,942
"YAL018C",11,2,7,2,21,17,6,9,918
"YAL015C",215,196,206,159,543,524,275,319,1140
"YAL014C",448,290,236,162,1019,1140,360,342,708
"YAL010C",322,289,199,159,559,592,226,271,1422
"YAL007C",1375,876,381,188,3633,3407,620,604,588
"YAL005C",134878,90871,5623,6316,794994,712852,12536,15697,1869
"YAL001C",1069,786,712,620,1187,1278,520,552,3513
"YAR002C-A",1943,1238,582,333,5454,4477,1133,856,600
"YAR007C",1463,1078,475,344,6147,5635,821,679,1806
"YAR014C",1138,808,741,604,1583,1382,512,385,2070
"YAR018C",300,198,174,107,462,512,209,166,1248
"YAR019C",648,439,370,403,393,378,165,158,2865
"YAR023C",250,142,179,153,132,122,122,205,480
"YAR047C",176,101,195,104,16,10,5,4,261
"YAL066W",9,3,4,4,1,0,0,1,249
